columna,dist_real_cm,MSE,RMSE,Error_relativo_%
5cm_raw,5.0,0.40399800666666663,0.6356083752332615,12.712167504665231
5cm_sqr,5.0,0.3776520410180734,0.614534003142278,12.29068006284556
5cm_lin,5.0,0.4987535967665332,0.7062248910697875,14.124497821395748
10cm_raw,10.0,1.47364128,1.2139362750984914,12.139362750984914
10cm_sqr,10.0,0.6070999135754397,0.779166165574096,7.79166165574096
10cm_lin,10.0,0.6778132517320936,0.8232941465430771,8.232941465430772
30cm_raw,30.0,1.009212206666667,1.0045955438218244,3.3486518127394143
30cm_sqr,30.0,1.15277973119488,1.0736758035808016,3.578919345269339
30cm_lin,30.0,1.0723249943599134,1.0355312618940644,3.451770872980215
20cm_raw,20.0,0.08102774666666648,0.28465373116589654,1.4232686558294827
20cm_sqr,20.0,0.25846668629850655,0.5083961902871682,2.5419809514358414
20cm_lin,20.0,0.15324792245380028,0.39146892910395875,1.9573446455197936
40cm_raw,40.0,1.6076227733333321,1.2679206494624702,3.1698016236561752
40cm_sqr,40.0,1.833434541070319,1.3540437736906141,3.3851094342265355
40cm_lin,40.0,1.8728623971375005,1.368525628966261,3.4213140724156528
50cm_raw,50.0,5.462298719999999,2.33715611802036,4.67431223604072
50cm_sqr,50.0,1.9421697689163413,1.3936175116997997,2.7872350233995995
50cm_lin,50.0,1.5497355235512134,1.2448837389697134,2.4897674779394268
60cm_raw,60.0,18.265651853333328,4.273833390918898,7.123055651531497
60cm_sqr,60.0,7.7639305268262735,2.78638305457564,4.643971757626066
60cm_lin,60.0,7.356472249460218,2.712281742271665,4.520469570452775
70cm_raw,70.0,21.698443299999997,4.658158788620241,6.654512555171774
70cm_sqr,70.0,6.826220502797711,2.612703676806406,3.7324338240091515
70cm_lin,70.0,7.09822504465457,2.664249433640659,3.8060706194866554
80cm_raw,80.0,26.22062459333334,5.120607834362376,6.40075979295297
80cm_sqr,80.0,8.617422827050746,2.935544724076052,3.6694309050950653
80cm_lin,80.0,6.045467053531503,2.458753150182324,3.073441437727905
TOTAL COMBINADO,,4.886170335273912,2.210468352018167,5.449812352835897
