n,5cm_raw,5cm_sqr,5cm_lin,10cm_raw,10cm_sqr,10cm_lin,30cm_raw,30cm_sqr,30cm_lin,20cm_raw,20cm_sqr,20cm_lin,40cm_raw,40cm_sqr,40cm_lin,50cm_raw,50cm_sqr,50cm_lin,60cm_raw,60cm_sqr,60cm_lin,70cm_raw,70cm_sqr,70cm_lin,80cm_raw,80cm_sqr,80cm_lin
1,6.188,4.477257,4.339691,10.54,12.253786,9.871073,28.9,29.737257,30.797241,19.771,19.733043,20.57582,38.165,41.972612,39.658193,46.835,47.859089,49.449993,55.624,56.380345,57.201088,63.325,69.011494,68.21015,74.8,75.849904,79.040203
2,5.593,4.77331,4.339691,11.424,9.871202,11.392651,28.9,29.986732,29.186159,20.094,19.397586,19.573369,40.443,41.558442,41.35878,47.787,48.873285,51.204282,57.443,57.109981,56.306043,66.368,70.080904,68.353357,74.868,78.001802,77.966148
3,5.304,4.181286,3.73106,11.135,11.359705,9.853173,29.665,28.917945,31.620683,19.771,19.062232,19.573369,40.443,41.954601,40.857554,48.144,48.891404,49.253083,55.505,57.255962,57.183187,66.096,65.551662,67.61942,73.44,79.841343,77.142706
4,5.304,4.477257,4.339691,10.54,9.853703,9.853173,29.155,28.917945,30.815142,19.771,19.733043,19.895585,39.304,40.586631,40.141518,47.634,48.710229,49.611101,55.216,59.045702,56.878872,66.657,70.615966,67.189798,77.35,78.076073,80.543879
5,5.304,4.477257,4.339691,10.557,10.764059,9.548857,28.9,30.521507,30.797241,19.771,19.062232,19.913486,39.984,38.66344,40.123617,47.804,50.686553,49.449993,55.216,57.109981,56.44925,64.583,67.814146,69.087295,77.809,76.535872,76.283462
6,6.188,5.383088,5.270539,10.54,11.061841,11.392651,30.447,30.521507,30.045403,19.771,19.062232,19.573369,39.304,38.645481,40.141518,47.804,49.253837,48.895065,55.08,59.210202,57.326395,67.218,66.452465,66.455861,73.899,78.484646,77.518625
7,5.304,4.477257,5.270539,10.557,10.764059,11.392651,29.155,29.185046,32.157711,19.771,19.733043,19.913486,40.885,40.101035,40.141518,48.144,47.442801,48.912966,55.216,56.818072,56.896773,64.294,67.501191,66.312653,76.194,78.596098,80.311168
8,5.304,4.477257,4.339691,10.557,9.853703,11.410552,31.722,31.877409,31.889197,19.771,19.733043,19.913486,39.304,38.160709,41.340879,46.852,49.235713,48.501244,56.049,56.070387,56.467151,64.719,69.748917,66.616969,77.792,82.056173,81.403123
9,5.304,4.477257,4.966223,11.407,11.359705,10.157488,28.883,32.16307,30.797241,19.771,20.386593,19.573369,40.443,40.586631,41.340879,47.787,50.686553,49.091975,55.624,56.818072,56.44925,64.175,67.814146,66.599068,77.01,78.856194,78.431572
10,6.188,4.477257,4.339691,11.424,10.151235,10.766119,31.722,30.521507,30.045403,19.771,19.397586,19.573369,38.845,39.849325,41.340879,49.487,48.891404,49.091975,54.655,58.607148,58.651062,66.385,67.05951,68.80088,74.698,77.630514,79.398221
11,4.42,4.477257,4.339691,11.135,10.764059,10.78402,30.43,28.917945,29.186159,20.094,19.733043,20.57582,39.984,41.072434,41.340879,47.804,48.891404,49.808011,55.913,56.36211,58.22144,65.569,66.599599,69.534818,79.016,76.665694,80.221663
12,5.304,4.77331,4.339691,11.424,11.359705,10.78402,30.43,30.521507,30.260214,20.094,19.397586,20.235702,37.706,40.82051,41.824204,47.804,48.891404,47.248181,55.216,57.255962,57.773918,67.065,71.465172,67.476213,78.217,76.535872,80.311168
13,5.304,4.477257,4.339691,10.557,11.359705,10.78402,29.92,30.539338,30.815142,20.723,19.397586,19.573369,40.902,39.633618,39.890905,48.637,47.859089,52.117229,54.519,56.36211,56.896773,67.983,68.256105,68.514466,75.242,78.96768,77.42912
14,6.188,4.477257,4.644007,11.424,11.359705,11.392651,28.9,30.521507,29.9917,20.094,19.397586,19.895585,40.443,40.586631,41.340879,48.127,48.891404,49.091975,55.199,57.109981,58.651062,65.127,67.501191,66.455861,73.899,76.331895,76.945796
15,5.304,3.572191,5.270539,10.846,10.764059,11.392651,29.665,31.34199,30.260214,19.448,19.715385,19.573369,40.443,37.927373,40.392131,48.127,48.710229,48.912966,54.791,56.216239,60.262145,64.855,69.011494,68.066943,74.273,76.6286,79.272915
16,5.882,5.383088,4.339691,11.713,10.466358,11.088336,29.665,29.986732,29.186159,20.077,19.715385,19.573369,38.845,40.586631,39.658193,48.144,48.710229,48.895065,55.624,56.818072,56.896773,64.43,69.306409,68.639772,74.341,77.927535,79.38032
17,5.593,5.365661,4.339691,11.424,11.061841,10.157488,31.212,30.521507,29.168258,20.094,19.733043,19.913486,38.148,43.432399,41.824204,48.127,48.891404,49.253083,55.216,56.818072,59.241793,66.674,69.324843,69.552719,75.565,76.0538,75.531624
18,6.188,4.477257,4.339691,10.557,9.871202,10.78402,30.43,29.167237,32.157711,20.094,19.733043,19.573369,39.542,39.148426,38.942157,49.81,48.275526,50.864165,55.624,55.924552,56.288142,68.34,66.893922,68.21015,54.859,81.311246,77.518625
19,5.882,4.477257,4.339691,10.54,11.359705,9.871073,28.883,28.917945,30.797241,19.771,19.715385,19.895585,39.525,40.101035,41.340879,47.804,48.710229,49.969119,55.641,56.818072,56.896773,66.249,69.453893,58.686864,78.217,76.647147,77.0353
20,5.304,4.77331,4.339691,11.424,9.871202,10.78402,29.699,33.234943,30.815142,20.094,19.397586,19.573369,39.525,41.072434,41.340879,47.804,47.877192,49.98702,54.791,56.672145,56.753566,67.796,70.597512,66.903383,77.282,78.596098,80.75869
21,4.42,3.572191,4.339691,11.407,10.168739,10.461804,30.43,29.772893,30.797241,19.771,19.733043,19.573369,37.706,40.334815,39.407581,47.243,47.026662,48.912966,54.655,57.255962,56.896773,66.232,68.845636,66.312653,74.885,77.129454,76.963697
22,5.304,4.477257,4.339691,10.846,9.871202,10.175389,33.014,28.90014,29.186159,19.771,19.733043,19.233251,40.443,38.66344,39.890905,46.835,48.710229,50.864165,55.216,58.607148,56.162835,65.28,66.765147,69.087295,76.466,78.484646,81.027204
23,5.304,4.477257,4.339691,10.251,9.853703,11.088336,29.92,28.90014,29.454673,19.771,19.733043,19.573369,38.607,38.645481,40.606942,47.804,48.293636,49.253083,57.171,56.653905,57.326395,67.218,69.7858,67.637321,77.809,77.630514,76.193957
24,5.304,4.477257,3.408844,10.54,12.56952,10.479705,28.883,30.539338,29.9917,19.771,19.733043,19.913486,38.386,39.867303,40.606942,47.634,49.072606,48.483344,54.655,56.818072,56.878872,66.81,69.47233,67.333005,74.783,78.466071,79.272915
25,5.304,4.477257,4.339691,11.424,10.168739,10.78402,30.43,29.71944,31.620683,19.448,19.733043,19.573369,37.706,40.334815,39.425481,47.804,48.873285,49.432092,54.791,56.380345,56.467151,66.793,66.452465,66.903383,76.993,77.908969,80.937699
26,5.304,5.069445,4.339691,10.846,10.764059,10.479705,30.43,28.917945,30.797241,19.771,19.397586,19.913486,39.525,41.054437,40.37423,48.314,49.235713,49.253083,56.746,56.818072,58.525756,63.869,67.05951,68.944088,74.239,76.6286,76.211858
27,5.304,4.477257,5.270539,10.54,9.871202,10.78402,28.9,30.539338,29.436772,19.771,19.733043,19.573369,40.885,41.072434,39.890905,49.487,51.957522,48.501244,55.624,56.818072,57.326395,65.263,66.893922,66.008338,74.766,80.324914,77.984049
28,6.188,3.572191,4.644007,10.829,10.764059,9.548857,30.43,30.521507,31.602782,19.771,19.397586,19.913486,40.902,39.13046,41.340879,46.835,49.072606,52.618455,55.624,56.818072,56.44925,67.813,68.845636,68.514466,75.242,81.683653,77.500724
29,5.304,4.477257,4.339691,11.424,10.764059,10.175389,29.665,30.539338,30.815142,20.094,19.397586,19.573369,38.624,39.382011,40.857554,46.461,48.891404,48.501244,54.808,56.653905,58.20354,67.218,69.306409,67.333005,77.35,81.646407,78.037752
30,6.188,4.477257,4.339691,10.557,10.168739,10.479705,29.665,30.539338,29.973799,20.094,19.733043,19.573369,38.845,40.586631,38.942157,48.127,47.859089,49.98702,55.216,57.255962,56.431349,63.733,67.648454,66.151545,72.913,80.734238,77.0353
31,5.015,4.477257,4.339691,9.673,9.853703,10.78402,34.527,31.34199,29.454673,20.723,19.397586,20.557919,40.443,40.334815,38.942157,47.039,49.779566,48.912966,54.655,57.566233,57.344296,67.218,66.452465,66.742275,74.511,78.391776,77.0353
32,4.726,5.069445,4.339691,10.829,8.961595,11.392651,30.43,29.986732,29.454673,20.094,19.733043,19.573369,39.066,40.586631,39.658193,47.243,48.891404,48.071623,56.457,57.712271,56.896773,65.824,66.746751,66.903383,74.8,75.479271,77.60813
33,5.304,4.477257,4.948322,10.829,9.853703,11.392651,28.9,28.917945,30.815142,19.771,19.397586,19.573369,39.984,40.586631,38.924256,47.804,50.142276,47.659902,56.049,59.063979,58.937477,67.983,68.716651,66.169446,75.208,81.18093,78.431572
34,6.188,4.477257,3.426745,10.251,10.151235,10.175389,30.43,31.34199,29.168258,19.771,19.397586,19.913486,38.148,38.17866,38.458832,48.144,48.710229,49.074074,55.624,56.36211,57.183187,64.566,67.814146,66.43796,77.231,76.331895,79.738338
35,5.304,5.069445,4.339691,10.557,9.871202,10.78402,28.9,30.521507,29.9917,19.771,19.733043,19.913486,40.443,38.17866,41.340879,46.852,47.859089,51.043174,55.199,56.672145,57.326395,65.127,66.728356,69.087295,76.466,80.436534,77.751337
36,6.188,4.477257,5.270539,11.713,9.871202,10.175389,30.43,30.521507,30.797241,20.094,19.397586,20.57582,37.723,39.13046,41.340879,49.81,48.710229,52.636355,57.154,58.168756,56.735665,65.416,67.501191,68.657673,77.01,81.385718,80.132158
37,4.437,4.477257,4.339691,10.846,10.151235,9.548857,31.195,30.521507,29.186159,20.094,19.397586,19.573369,40.205,38.17866,39.425481,47.634,49.779566,48.501244,56.049,59.045702,56.44925,64.702,69.767358,66.760176,75.225,78.96768,76.193957
38,6.171,3.885396,4.339691,10.557,10.764059,9.548857,29.665,30.539338,29.168258,19.771,19.715385,19.573369,39.763,40.586631,41.340879,48.127,49.797699,48.912966,57.851,56.36211,57.183187,64.294,67.961448,68.657673,75.225,77.519149,76.193957
39,6.171,4.477257,4.339691,10.846,10.168739,10.157488,31.212,31.34199,29.186159,19.771,19.733043,19.573369,37.706,41.072434,41.340879,47.243,48.873285,48.071623,54.638,60.545325,56.44925,63.733,66.139865,66.026239,74.341,77.036688,77.60813
40,5.304,4.477257,4.339691,11.135,9.871202,10.157488,31.212,30.521507,29.186159,20.094,19.397586,19.913486,38.624,40.101035,41.340879,47.787,49.235713,48.501244,56.049,57.712271,57.326395,66.793,65.992787,65.435509,73.542,78.596098,77.966148
41,5.593,3.589588,4.339691,12.002,11.359705,10.175389,28.883,28.917945,29.186159,20.094,19.397586,19.573369,42.687,41.072434,38.208219,48.144,48.692114,49.969119,54.791,58.899499,56.44925,67.201,68.716651,69.516917,76.109,77.018135,76.498273
42,5.304,4.477257,5.270539,10.846,10.151235,11.392651,29.138,28.917945,30.797241,19.448,19.397586,20.57582,39.984,40.334815,39.658193,46.835,48.873285,49.091975,54.655,57.255962,56.306043,66.657,67.353946,66.742275,73.542,79.74837,78.431572
43,5.593,4.477257,4.339691,12.002,10.466358,10.461804,30.43,29.986732,30.045403,19.771,19.397586,19.913486,38.862,38.66344,38.924256,48.127,49.235713,49.253083,54.655,56.818072,56.896773,67.218,69.306409,66.008338,76.551,80.827286,75.621128
44,5.304,5.383088,4.339691,12.002,10.168739,10.461804,28.9,28.917945,29.454673,19.771,19.733043,20.57582,39.763,38.17866,40.857554,47.226,47.008572,48.912966,54.774,57.255962,60.56646,64.43,67.05951,66.760176,75.667,79.952919,76.551976
